position,positionStringShort,name,positionRow,isCaptain,rating,fantasyScore,minutesPlayed,isGoalkeeper,goal,assist,subbedOutTime,yellowCard,redCard,total_shots,accurate_passes_rate(%),chances_created,expected_goals(xG),expected_goals_on_target(xGOT),expected_assists(xA),xG+xA,shot_accuracy(%),blocked_shots,touches,touches_in_opposition_box,passes_into_final_third,long_balls_accuracy(%),dispossessed,xG_Non_penalty,tackles_won_rate(%),clearances,headed_clearance,defensive_actions,recoveries,dribbled_past,duels_won,duels_lost,ground_duels_won_rate(%),aerial_duels_won_rate(%),was_fouled,fouls_commited,dribble_success_rate(%),penalties_won,big_chances_missed,crosses_success_rate(%)
Defender,CB,Ben White,1,FALSE,7,1,90,FALSE,0,0,,1,0,0,89,0,0,0,0.03,0.03,0,0,111,0,13,20,0,0,0,0,0,2,3,0,1,2,0,50,0,0,0,0,0,0
Defender,CB,William Saliba,1,FALSE,8,5,90,FALSE,0,1,,0,0,0,98,1,0,0,0.03,0.03,0,0,133,0,5,100,0,0,0,1,0,2,5,0,2,1,50,100,1,1,0,0,0,0
Defender,LB,Jurrien Timber,1,FALSE,7,0,50,FALSE,0,0,50,1,0,0,89,0,0,0,0.01,0.01,0,0,51,0,9,0,0,0,100,1,0,4,2,0,2,2,33,100,0,2,0,0,0,0
Midfielder,CM,Martin _degaard,3,TRUE,7.5,2,90,FALSE,0,0,,0,0,3,84,1,0.11,0,0.09,0.2,0,2,83,0,4,0,1,0.11,33,1,1,4,7,2,5,3,63,0,2,0,0,0,0,0
Midfielder,CM,Declan Rice,3,FALSE,7.6,2,90,FALSE,0,0,,0,0,3,92,0,0.25,1.14,0.03,0.28,100,0,104,0,10,50,0,0.25,100,0,0,7,5,1,6,8,56,20,1,2,0,0,0,0
Midfielder,CM,Kai Havertz,3,FALSE,7.3,2,90,FALSE,0,0,,0,0,2,89,2,0.05,0,0.24,0.29,0,2,69,0,2,100,1,0.05,100,1,1,5,2,0,8,8,56,43,4,2,0,0,0,0
Attacker,ST,Bukayo Saka,5,FALSE,8.4,7 + 3,90,FALSE,1,0,,0,0,3,82,3,0.19,0.66,0.17,0.36,100,1,83,0,2,100,1,0.19,80,0,0,7,0,2,6,7,50,0,1,2,0,0,0,11
Attacker,ST,Edward Nketiah,5,FALSE,7.6,6 + 2,73,FALSE,1,0,73,0,0,3,100,0,0.21,0.02,0.01,0.22,33,0,28,0,1,0,1,0.21,100,0,0,1,1,0,4,3,40,100,1,0,0,0,0,0
Attacker,ST,Gabriel Martinelli,5,FALSE,7.9,5,86,FALSE,0,1,86,0,0,0,93,3,0,0,0.22,0.22,0,0,54,0,0,50,4,0,100,0,0,3,8,0,6,13,38,17,2,2,50,0,0,100
Attacker,ST,Morgan Gibbs-White,5,FALSE,7.2,2,90,FALSE,0,0,,0,0,1,69,1,0.07,0,0.21,0.28,0,0,38,0,4,80,0,0.07,100,1,1,4,4,0,7,5,50,100,1,1,43,0,0,25
